 load, slew_a, slew_b, process, voltage, temperature, skew_b, rise_delay, fall_delay, rise_slew, fall_slew  
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-1e-09,6.150761e-11,1.286917e-10,1.159908e-10,2.331706e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-9.5e-10,6.153621e-11,1.287917e-10,1.165332e-10,2.333405e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-9e-10,6.150763e-11,1.287263e-10,1.159906e-10,2.332533e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-8.5e-10,6.153617e-11,1.287454e-10,1.16533e-10,2.332926e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-8e-10,6.15076e-11,1.288471e-10,1.159895e-10,2.33434e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-7.5e-10,6.150762e-11,1.288547e-10,1.159894e-10,2.334401e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-7e-10,6.150763e-11,1.28849e-10,1.159891e-10,2.334346e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-6.5e-10,6.150765e-11,1.288422e-10,1.159889e-10,2.334261e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-6e-10,6.150766e-11,1.288343e-10,1.159885e-10,2.334141e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-5.5e-10,6.15077e-11,1.288205e-10,1.159875e-10,2.334009e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-5e-10,6.153598e-11,1.288088e-10,1.165316e-10,2.333758e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-4.5e-10,6.153598e-11,1.287941e-10,1.165314e-10,2.333389e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-4e-10,6.153591e-11,1.28775e-10,1.16531e-10,2.332836e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-3.5e-10,6.153586e-11,1.287483e-10,1.165306e-10,2.332007e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-3e-10,6.152231e-11,1.282549e-10,1.159623e-10,2.310955e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-2.5e-10,6.152232e-11,1.279615e-10,1.159621e-10,2.303296e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-2e-10,6.153581e-11,1.279093e-10,1.165303e-10,2.314872e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-1.5e-10,6.158594e-11,1.277058e-10,1.162446e-10,2.309303e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-1e-10,6.154759e-11,1.281104e-10,1.025412e-10,2.32725e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,-5e-11,5.764435e-11,1.274671e-10,7.723049e-11,2.302215e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,0.0,3.286137e-11,1.308692e-10,5.856826e-11,2.334716e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,5e-11,5.856434e-11,1.253514e-10,7.837845e-11,2.309376e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,1e-10,6.332285e-11,1.257634e-10,1.034384e-10,2.32129e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,1.5e-10,6.33232e-11,1.248954e-10,1.185151e-10,2.294969e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,2e-10,6.332323e-11,1.24886e-10,1.189836e-10,2.294973e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,2.5e-10,6.332322e-11,1.248841e-10,1.189836e-10,2.295092e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,3e-10,6.332322e-11,1.248842e-10,1.189836e-10,2.295093e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,3.5e-10,6.332322e-11,1.248839e-10,1.189836e-10,2.2951e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,4e-10,6.332322e-11,1.248839e-10,1.189836e-10,2.2951e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,4.5e-10,6.332322e-11,1.248839e-10,1.189836e-10,2.295101e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,5e-10,6.332322e-11,1.248838e-10,1.189836e-10,2.295102e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,5.5e-10,6.33149e-11,1.248756e-10,1.189048e-10,2.298164e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,6e-10,6.33149e-11,1.248756e-10,1.189048e-10,2.298164e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,6.5e-10,6.33149e-11,1.248756e-10,1.189048e-10,2.298164e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,7e-10,6.33149e-11,1.248756e-10,1.189048e-10,2.298164e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,7.5e-10,6.33149e-11,1.248757e-10,1.189047e-10,2.298164e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,8e-10,6.33149e-11,1.248757e-10,1.189047e-10,2.298164e-10 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,25.0,8.5e-10,6.33149e-11,1.248757e-10,1.189047e-10,2.298164e-10 
