rise_delay,fall_delay,rise_slew,fall_slew
5.254047e-10,1.194664e-09,6.837151e-10,2.246362e-09 
1.283754e-09,3.996673e-09,2.142104e-09,7.291207e-09 
3.288251e-10,7.623279e-10,4.759884e-10,1.465998e-09 
1.171425e-10,2.383796e-10,2.234874e-10,4.483015e-10 
1.497488e-10,1.925486e-10,1.947118e-10,3.772142e-10 
6.001612e-11,7.685034e-11,8.650237e-11,1.231044e-10 
-1.274275e-10,2.685378e-10,2.492437e-10,3.811353e-10 
7.784943e-10,1.864596e-09,1.201274e-09,3.541394e-09 
7.376178e-10,1.313227e-09,1.046607e-09,2.696382e-09 
4.236721e-11,8.97228e-11,8.073272e-11,1.417615e-10 
-1.990693e-10,2.143775e-10,1.099103e-10,2.582143e-10 
1.583111e-10,2.116724e-10,2.53833e-10,4.181492e-10 
9.597386e-10,2.486778e-09,1.493016e-09,4.940384e-09 
4.731925e-10,9.014147e-10,6.003055e-10,1.645832e-09 
1.232525e-10,1.906896e-10,2.145892e-10,3.66708e-10 
8.620912e-10,1.864443e-09,1.225075e-09,3.552503e-09 
7.598333e-10,1.651334e-09,1.109866e-09,3.209872e-09 
8.435915e-10,1.808919e-09,1.230838e-09,3.523023e-09 
8.334087e-10,3.550853e-09,1.446678e-09,6.668357e-09 
3.620483e-11,1.070939e-10,6.993977e-11,1.518256e-10 
2.225448e-10,4.676791e-10,3.545096e-10,9.22104e-10 
9.359123e-10,1.706613e-09,1.283321e-09,3.237151e-09 
-8.856559e-11,1.801784e-10,1.104477e-10,2.137717e-10 
5.349557e-10,9.088532e-10,9.33473e-10,1.79161e-09 
2.807673e-11,1.020741e-10,4.224783e-11,1.719494e-10 
9.089586e-10,1.643516e-09,1.558798e-09,3.173315e-09 
5.95088e-11,1.079961e-10,1.02939e-10,1.937828e-10 
6.591655e-11,1.098233e-10,1.276219e-10,2.119525e-10 
4.962276e-11,9.478805e-11,9.475701e-11,1.83223e-10 
2.073849e-10,2.788907e-10,2.701045e-10,5.009772e-10 
1.753668e-10,5.084869e-10,2.375625e-10,9.653169e-10 
1.654087e-10,3.240733e-10,3.140758e-10,5.968996e-10 
9.888993e-10,3.059605e-09,1.554636e-09,5.774217e-09 
5.054411e-10,1.74696e-09,9.109391e-10,3.439662e-09 
1.312905e-10,2.529808e-10,2.25738e-10,4.50219e-10 
2.602604e-10,5.551778e-10,3.919382e-10,1.092021e-09 
9.101606e-10,3.893474e-09,2.277685e-09,7.364205e-09 
4.484918e-10,1.147782e-09,8.921734e-10,2.131125e-09 
9.548204e-10,1.89234e-09,1.408302e-09,3.634765e-09 
1.380708e-09,3.996037e-09,2.184109e-09,7.291258e-09 
-2.075549e-11,1.468212e-10,1.265383e-10,2.656331e-10 
4.669196e-10,1.089724e-09,7.767802e-10,2.12502e-09 
9.792546e-11,7.273303e-11,1.118295e-10,1.290681e-10 
2.172524e-10,4.167138e-10,3.623816e-10,7.677692e-10 
1.133591e-10,1.769375e-10,1.707154e-10,3.458836e-10 
1.427268e-10,2.316514e-10,2.265031e-10,4.152403e-10 
5.451935e-11,2.839251e-10,1.414652e-10,5.257661e-10 
2.899288e-11,1.105317e-10,5.408077e-11,2.064617e-10 
3.929858e-10,5.820837e-10,6.878749e-10,1.120886e-09 
4.889833e-11,9.796448e-11,8.458922e-11,1.734278e-10 
5.384845e-11,9.952711e-11,9.661728e-11,1.825263e-10 
9.640173e-11,2.004967e-10,1.947005e-10,3.582157e-10 
4.163664e-10,7.752928e-10,6.536792e-10,1.468914e-09 
4.005058e-11,1.503139e-10,6.414918e-11,2.596664e-10 
4.23003e-10,1.047979e-09,6.003902e-10,1.962012e-09 
1.427191e-10,2.118198e-10,2.741794e-10,4.178821e-10 
3.568567e-10,6.074678e-10,6.845185e-10,1.202326e-09 
1.191289e-10,1.335372e-10,1.248072e-10,1.70965e-10 
3.984205e-11,7.147749e-11,7.475701e-11,1.130797e-10 
5.222691e-10,8.803775e-10,9.280672e-10,1.568811e-09 
5.512442e-10,1.845923e-09,7.852948e-10,3.472345e-09 
8.644902e-10,4.348123e-09,2.013532e-09,8.325929e-09 
4.115983e-10,8.123495e-10,5.955695e-10,1.563009e-09 
3.954181e-11,6.585085e-11,7.576203e-11,1.266843e-10 
1.359641e-10,2.66187e-10,2.34815e-10,4.135985e-10 
2.9432e-10,5.93965e-10,6.080499e-10,1.171752e-09 
9.277218e-10,1.650817e-09,1.470704e-09,3.21291e-09 
3.278739e-10,8.743823e-10,4.93349e-10,1.720618e-09 
8.986296e-11,1.050626e-10,1.241643e-10,1.849574e-10 
7.152642e-10,1.64091e-09,1.123391e-09,3.191367e-09 
6.802336e-10,2.577364e-09,1.294184e-09,5.060648e-09 
4.468032e-10,8.821271e-10,6.311209e-10,1.571022e-09 
